iter	Passed	Remaining
789	1739	462
790	1741	460
791	1743	457
792	1744	455
793	1746	453
794	1748	450
795	1749	448
796	1751	446
797	1753	443
798	1754	441
799	1756	439
800	1758	436
801	1759	434
802	1761	432
803	1762	429
804	1764	427
805	1766	425
806	1768	423
807	1771	420
808	1773	418
809	1774	416
810	1776	413
811	1778	411
812	1780	409
813	1782	407
814	1784	405
815	1786	402
816	1788	400
817	1789	398
818	1791	395
819	1793	393
820	1795	391
821	1798	389
822	1800	387
823	1805	385
824	1807	383
825	1808	381
826	1812	379
827	1814	376
828	1815	374
829	1817	372
830	1820	370
831	1822	367
832	1824	365
833	1826	363
834	1828	361
835	1829	358
836	1832	356
837	1834	354
838	1836	352
839	1838	350
840	1840	347
841	1842	345
842	1843	343
843	1845	341
844	1847	338
845	1848	336
846	1850	334
847	1851	331
848	1853	329
849	1854	327
850	1856	324
851	1857	322
852	1859	320
853	1861	318
854	1863	315
855	1865	313
856	1866	311
857	1868	309
858	1869	306
859	1871	304
860	1872	302
861	1874	300
862	1876	297
863	1877	295
864	1879	293
865	1880	290
866	1882	288
867	1884	286
868	1886	284
869	1887	282
870	1889	279
871	1891	277
872	1892	275
873	1894	273
874	1897	271
875	1899	268
876	1901	266
877	1902	264
878	1904	262
879	1905	259
880	1907	257
881	1909	255
882	1910	253
883	1912	250
884	1913	248
885	1915	246
886	1917	244
887	1918	242
888	1920	239
889	1921	237
890	1922	235
891	1924	232
892	1925	230
893	1927	228
894	1928	226
895	1930	224
896	1931	221
897	1933	219
898	1934	217
899	1936	215
900	1937	212
901	1939	210
902	1941	208
903	1942	206
904	1944	204
905	1946	201
906	1948	199
907	1949	197
908	1951	195
909	1952	193
910	1954	190
911	1956	188
912	1957	186
913	1959	184
914	1962	182
915	1963	180
916	1965	177
917	1966	175
918	1968	173
919	1970	171
920	1971	169
921	1973	166
922	1976	164
923	1978	162
924	1980	160
925	1982	158
926	1984	156
927	1986	154
928	1988	151
929	1990	149
930	1992	147
931	1994	145
932	1995	143
933	1997	141
934	1998	138
935	2000	136
936	2001	134
937	2003	132
938	2006	130
939	2007	128
940	2009	125
941	2011	123
942	2012	121
943	2014	119
944	2016	117
945	2018	115
946	2020	113
947	2021	110
948	2023	108
949	2025	106
950	2027	104
951	2028	102
952	2030	100
953	2032	97
954	2034	95
955	2035	93
956	2037	91
957	2038	89
958	2040	87
959	2041	85
960	2043	82
961	2044	80
962	2046	78
963	2047	76
964	2049	74
965	2050	72
966	2052	70
967	2053	67
968	2055	65
969	2056	63
970	2057	61
971	2059	59
972	2060	57
973	2062	55
974	2064	52
975	2065	50
976	2067	48
977	2069	46
978	2071	44
979	2072	42
980	2074	40
981	2076	38
982	2078	35
983	2080	33
984	2081	31
985	2083	29
986	2084	27
987	2086	25
988	2087	23
989	2089	21
990	2091	18
991	2093	16
992	2095	14
993	2097	12
994	2099	10
995	2101	8
996	2103	6
997	2105	4
998	2107	2
999	2109	0
